symbol,fund_name,observed_at,market_date,last_price,nav,nav_bubble
آتش,صندوق س.کالای کهکشان فیروزه,2025-07-22 12:00:00+03:30,2025-07-22,13446.0,13450.0,-0.0297397769516728
آتش,صندوق س.کالای کهکشان فیروزه,2025-07-23 12:00:00+03:30,2025-07-23,13500.0,13447.0,0.3941399568677028
آتش,صندوق س.کالای کهکشان فیروزه,2025-07-26 12:00:00+03:30,2025-07-26,13256.0,13195.0,0.4622963243652899
آتش,صندوق س.کالای کهکشان فیروزه,2025-07-27 12:00:00+03:30,2025-07-27,13127.0,13066.0,0.4668605541099035
آتش,صندوق س.کالای کهکشان فیروزه,2025-07-28 12:00:00+03:30,2025-07-28,13393.0,13398.0,-0.0373190028362442
آتش,صندوق س.کالای کهکشان فیروزه,2025-07-29 12:00:00+03:30,2025-07-29,13419.0,13423.0,-0.0297995977054309
آتش,صندوق س.کالای کهکشان فیروزه,2025-07-30 12:00:00+03:30,2025-07-30,13416.0,13371.0,0.3365492483733452
آتش,صندوق س.کالای کهکشان فیروزه,2025-08-02 12:00:00+03:30,2025-08-02,13944.0,13888.0,0.4032258064516129
آتش,صندوق س.کالای کهکشان فیروزه,2025-08-03 12:00:00+03:30,2025-08-03,14129.0,14136.0,-0.0495189586870401
آتش,صندوق س.کالای کهکشان فیروزه,2025-08-04 12:00:00+03:30,2025-08-04,14395.0,14342.0,0.3695439966531864
آتش,صندوق س.کالای کهکشان فیروزه,2025-08-05 12:00:00+03:30,2025-08-05,14093.0,14209.0,-0.8163839819832501
آتش,صندوق س.کالای کهکشان فیروزه,2025-08-06 12:00:00+03:30,2025-08-06,14184.0,14260.0,-0.5329593267882188
آتش,صندوق س.کالای کهکشان فیروزه,2025-08-09 12:00:00+03:30,2025-08-09,13918.0,13918.0,0.0
آتش,صندوق س.کالای کهکشان فیروزه,2025-08-10 12:00:00+03:30,2025-08-10,13927.0,13860.0,0.4834054834054834
آتش,صندوق س.کالای کهکشان فیروزه,2025-08-11 12:00:00+03:30,2025-08-11,14008.0,14022.0,-0.0998431036941948
آتش,صندوق س.کالای کهکشان فیروزه,2025-08-12 12:00:00+03:30,2025-08-12,13893.0,13893.0,0.0
آتش,صندوق س.کالای کهکشان فیروزه,2025-08-13 12:00:00+03:30,2025-08-13,14138.0,14079.0,0.4190638539669011
آتش,صندوق س.کالای کهکشان فیروزه,2025-08-16 12:00:00+03:30,2025-08-16,13907.0,13847.0,0.4333068534700657
آتش,صندوق س.کالای کهکشان فیروزه,2025-08-17 12:00:00+03:30,2025-08-17,13975.0,13978.0,-0.0214622978966948
آتش,صندوق س.کالای کهکشان فیروزه,2025-08-18 12:00:00+03:30,2025-08-18,14073.0,14048.0,0.1779612756264237
آتش,صندوق س.کالای کهکشان فیروزه,2025-08-19 12:00:00+03:30,2025-08-19,14083.0,14041.0,0.2991239940175201
آتش,صندوق س.کالای کهکشان فیروزه,2025-08-20 12:00:00+03:30,2025-08-20,14321.0,14171.0,1.0584997530167242
آتش,صندوق س.کالای کهکشان فیروزه,2025-08-23 12:00:00+03:30,2025-08-23,14478.0,14375.0,0.7165217391304348
آتش,صندوق س.کالای کهکشان فیروزه,2025-08-25 12:00:00+03:30,2025-08-25,14518.0,14392.0,0.8754863813229572
آتش,صندوق س.کالای کهکشان فیروزه,2025-08-26 12:00:00+03:30,2025-08-26,14486.0,14544.0,-0.3987898789878988
آتش,صندوق س.کالای کهکشان فیروزه,2025-08-27 12:00:00+03:30,2025-08-27,15143.0,15111.0,0.2117662629872278
آتش,صندوق س.کالای کهکشان فیروزه,2025-08-30 12:00:00+03:30,2025-08-30,15700.0,15721.0,-0.1335792888493098
آتش,صندوق س.کالای کهکشان فیروزه,2025-08-31 12:00:00+03:30,2025-08-31,16210.0,16353.0,-0.87445728612487
آتش,صندوق س.کالای کهکشان فیروزه,2025-09-02 12:00:00+03:30,2025-09-02,15600.0,15902.0,-1.899132184630864
